index,视频时间,码率(Mbps),端到端时延,丢包率,时延(ms),卡顿次数,卡顿总时长,每次卡顿时长,卡顿开始位置,卡顿间隔,卡顿频率,MOS得分,最终MOS值,,start,last,Row Mean,Row StdDev,Threshold Upper,Threshold Lower,Filtered Mean
1,9.797436957,2.01972,64.18,0.05,0,0,0,0,0,0,0,0,0,,863,1100,0,0,0,0,
2,10.00413394,2.10933,64.18,0.05,0,0,0,0,0,0,0,0,0,,1227,1469,0,0,0,0,
3,10.00413394,2.03537,64.18,0.05,0,0,0,0,0,0,0,4.55,4.48582,,1590,1832,4.55,0.053452248,4.656904497,4.443095503,
4,10.00413394,2.00836,64.18,0.05,0,0,0,0,0,0,0,4.6125,4.54832,,1956,2198,4.6125,0.135620268,4.883740536,4.341259464,
5,10.00413394,2.10392,64.18,0.05,0,0,0,0,0,0,0,4.5875,4.52332,,2319,2561,4.5875,0.124642345,4.836784691,4.338215309,
6,10.00413394,2.00955,64.18,0.05,0,0,0,0,0,0,0,4.475,4.41082,,2688,2930,4.475,0.138873015,4.75274603,4.19725397,
7,0.248036379,1.98023,64.18,0.05,0,0,0,0,0,0,0,0,0,,3052,3058,0,0,0,0,
8,10.12815213,2.15288,64.18,0.05,0,0,0,0,0,0,0,4.5125,4.44832,,3176,3421,4.5125,0.124642345,4.761784691,4.263215309,
9,10.00413394,2.00035,64.18,0.05,0,0,0,0,0,0,0,4.65,4.58582,,3542,3784,4.65,0.151185789,4.952371578,4.347628422,
10,10.00413394,2.13378,64.18,0.05,0,0,0,0,0,0,0,4.63375,4.56957,,3906,4148,4.63375,0.132980933,4.899711866,4.367788134,
11,10.00413394,2.09194,69.75,0.05,0,0,0,0,0,0,0,4.625,4.55525,,4274,4516,4.625,0.148804762,4.922609524,4.327390476,
12,10.00413394,2.07221,69.75,0.05,0,0,0,0,0,0,0,4.625,4.55525,,4637,4879,4.625,0.138873015,4.90274603,4.34725397,
13,10.08681273,2.03532,69.75,0.05,0,0,0,0,0,0,0,4.56875,4.499,,5000,5244,4.56875,0.109991883,4.788733766,4.348766234,
14,10.00413394,1.98326,69.75,0.05,0,0,0,0,0,0,0,4.4625,4.39275,,5371,5613,4.4625,0.140788595,4.744077191,4.180922809,
15,10.00413394,2.09846,69.75,0.05,0,0,0,0,0,0,0,4.4375,4.36775,,5734,5976,4.4375,0.168501802,4.774503603,4.100496397,
16,10.00413394,2.00197,69.75,0.05,0,0,0,0,0,0,0,4.6125,4.54275,,6101,6343,4.6125,0.083452296,4.779404592,4.445595408,
17,9.962794543,2.06442,69.75,0.05,0,0,0,0,0,0,0,4.625,4.55525,,6465,6706,4.625,0.128173989,4.881347978,4.368652022,
18,10.00413394,2.04154,69.75,0.05,0,0,0,0,0,0,0,4.675,4.60525,,6831,7073,4.675,0.138873015,4.95274603,4.39725397,
19,10.00413394,1.99141,69.75,0.05,0,0,0,0,0,0,0,4.68125,4.6115,,7200,7442,4.68125,0.155695444,4.992640889,4.369859111,
20,10.08681273,2.0809,69.75,0.05,0,0,0,0,0,0,0,4.6,4.53025,,7572,7816,4.6,0.119522861,4.839045722,4.360954278,
21,10.16949153,2.03194,69.75,0.05,0,0,0,0,0,0,0,4.6125,4.54275,,7938,8184,4.6125,0.164208056,4.940916112,4.284083888,
22,10.33484911,2.70687,69.75,0.05,0,0,0,0,0,0,0,4.628571429,4.558821429,,8306,8556,4.575,0.175254916,4.925509833,4.224490167,
23,9.838776354,4.18277,69.75,0.05,0,0,0,0,0,0,0,4.63125,4.5615,,8685,8923,4.63125,0.070394298,4.772038595,4.490461405,
24,10.16949153,4.18488,69.75,0.05,0,0,0,0,0,0,0,4.6125,4.54275,,9050,9296,4.6125,0.145773797,4.904047595,4.320952405,
