index,时间长度,码率(Mbps),端到端时延,丢包率,时延(ms),卡顿次数,卡顿总时长,每次卡顿时长,卡顿开始位置,卡顿间隔,卡顿频率,MOS得分,最终MOS值,,start,last,Row Mean,Row StdDev,Threshold Upper,Threshold Lower,Filtered Mean
1,10.00413394,2.12893,413.86,0.1,100,0,0,0,0,0,0,0,-0.62079,,383595,383837,0,0,0,0,
2,10.00413394,2.05975,413.86,0.1,100,0,0,0,0,0,0,0,-0.62079,,383959,384201,0,0,0,0,
3,10.12815213,2.22172,413.86,0.1,100,3,0.24,0.08，0.08，0.08,"0.17,2.89,4.01","2.64,1.04",,2.125,1.50421,,384323,384568,2.125,0.384521967,2.894043933,1.355956067,
4,9.962794543,2.07592,413.86,0.1,100,0,0,0,0,0,0,2.3875,1.76671,,384692,384933,2.3875,0.566789202,3.521078405,1.253921595,
5,9.962794543,2.08809,413.86,0.1,100,0,0,0,0,0,0,2.5875,1.96671,,385058,385299,2.5875,0.699872437,3.987244875,1.187755125,
6,9.962794543,2.11005,413.86,0.1,100,1,0.12,0.12,3.56,0,,2.3875,1.76671,,385424,385665,2.3875,0.566789202,3.521078405,1.253921595,
7,0.124018189,2.21987,413.86,0.1,100,0,0,0,0,0,0,0,-0.62079,,385787,385790,0,0,0,0,
8,10.00413394,2.02137,413.86,0.1,100,0,0,0,0,0,0,2.5375,1.91671,,385912,386154,2.5375,0.903860767,4.345221534,0.729778466,
9,9.962794543,2.21797,413.86,0.1,100,1,0.08,0.08,3.51,0,,2.114285714,1.493495714,,386279,386520,2.35,0.774596669,3.899193338,0.800806662,
10,10.04547334,2.13404,413.86,0.1,100,1,0.08,0.08,6.49,0,,2.3625,1.74171,,386642,386885,2.3625,0.489715661,3.341931322,1.383068678,
11,10.00413394,2.13978,408.49,0.1,100,1,0.12,0.12,9.05,0,,2.4125,1.799765,,387009,387251,2.4125,0.412093956,3.236687912,1.588312088,
12,9.921455147,2.0281,408.49,0.1,100,0,0,0,0,0,0,2.5375,1.924765,,387374,387614,2.5375,0.43404246,3.40558492,1.66941508,
