index,视频长度,码率(Mbps),端到端时延,丢包率,时延(ms),卡顿次数,卡顿总时长,每次卡顿时长,卡顿开始位置,卡顿间隔,卡顿频率,MOS得分,最终MOS值,,start,last,Row Mean,Row StdDev,Threshold Upper,Threshold Lower,Filtered Mean
201,10.00413394,5.00391,83.07,0.2,0,0,0,0,0,0,0,0,0,,95634,95876,0,0,0,0,
202,10.00413394,5.09328,83.07,0.2,0,0,0,0,0,0,0,0,0,,95998,96240,0,0,0,0,
203,10.00413394,4.93629,83.07,0.2,0,0,0,0,0,0,0,4.19,4.10693,,96365,96607,4.19,0.13606721,4.462134421,3.917865579,
204,10.00413394,5.11781,83.07,0.2,0,0,0,0,0,0,0,4.225714286,4.142644286,,96728,96970,4.26,0.107968249,4.475936499,4.044063501,
205,10.00413394,5.06852,83.07,0.2,0,0,0,0,0,0,0,4.27875,4.19568,,97644,97886,4.27875,0.165308154,4.609366308,3.948133692,
206,0.248036379,4.93154,83.07,0.2,0,0,0,0,0,0,0,0,0,,98008,98014,0,0,0,0,
207,10.00413394,5.1546,83.07,0.2,0,0,0,0,0,0,0,4.30625,4.22318,,98136,98378,4.30625,0.10155048,4.50935096,4.10314904,
208,10.00413394,5.21028,83.07,0.2,0,0,0,0,0,0,0,4.28125,4.19818,,98500,98742,4.28125,0.113192314,4.507634628,4.054865372,
209,10.00413394,5.19955,83.07,0.2,0,0,0,0,0,0,0,4.2325,4.14943,,98864,99106,4.2325,0.108988859,4.450477718,4.014522282,
210,10.00413394,5.16336,83.07,0.2,0,0,0,0,0,0,0,4.27375,4.19068,,99231,99473,4.27375,0.168432903,4.610615806,3.936884194,
211,10.08681273,5.18336,83.54,0.2,0,0,0,0,0,0,0,4.164285714,4.080745714,,99595,99839,8.89375,13.37728452,35.64831904,-17.86081904,
212,10.00413394,5.10499,83.54,0.2,0,0,0,0,0,0,0,4.235,4.15146,,99962,100204,4.235,0.141724078,4.518448156,3.951551844,
213,10.04547334,5.27169,83.54,0.2,0,0,0,0,0,0,0,4.21875,4.13521,,100326,100569,4.21875,0.125178444,4.469106888,3.968393112,
214,10.00413394,5.16361,83.54,0.2,0,0,0,0,0,0,0,4.2125,4.12896,,100691,100933,4.2125,0.124642345,4.461784691,3.963215309,
215,10.00413394,5.11058,83.54,0.2,0,0,0,0,0,0,0,4.265,4.18146,,101057,101299,4.265,0.204450483,4.673900966,3.856099034,
216,10.00413394,5.23333,83.54,0.2,0,0,0,0,0,0,0,4.185,4.10146,,101423,101665,4.185,0.172626765,4.53025353,3.83974647,
217,10.04547334,5.19804,83.54,0.2,0,0,0,0,0,0,0,4.29375,4.21021,,101787,102030,4.29375,0.126596942,4.546943884,4.040556116,
218,10.00413394,5.11501,83.54,0.2,0,0,0,0,0,0,0,4.15375,4.07021,,102154,102396,4.15375,0.132980933,4.419711866,3.887788134,
219,10.08681273,5.21578,83.54,0.2,0,0,0,0,0,0,0,4.1925,4.10896,,102518,102762,4.1925,0.126010204,4.444520407,3.940479593,
220,10.00413394,5.18748,83.54,0.2,0,0,0,0,0,0,0,4.24,4.15646,,102884,103126,4.185,0.164142795,4.51328559,3.85671441,
221,10.00413394,5.11649,84.72,0.2,0,0,0,0,0,0,0,4.17375,4.08903,,103250,103492,4.17375,0.13968715,4.453124301,3.894375699,
222,10.04547334,5.25871,84.72,0.2,0,0,0,0,0,0,0,4.1625,4.07778,,103615,103858,4.1625,0.199553072,4.561606144,3.763393856,
223,10.00413394,5.16091,84.72,0.2,0,0,0,0,0,0,0,4.35375,4.26903,,103981,104223,4.35375,0.171459075,4.696668149,4.010831851,
224,10.00413394,5.1333,84.72,0.2,0,0,0,0,0,0,0,4.30625,4.22153,,104347,104589,4.30625,0.174104853,4.654459707,3.958040293,
225,10.04547334,5.2735,84.72,0.2,0,0,0,0,0,0,0,4.31125,4.22653,,104711,104954,4.31125,0.197515822,4.706281644,3.916218356,
226,10.00413394,5.11167,84.72,0.2,0,0,0,0,0,0,0,4.26625,4.18153,,105076,105318,4.26625,0.132980933,4.532211866,4.000288134,
227,10.00413394,5.16025,84.72,0.2,0,0,0,0,0,0,0,4.23125,4.14653,,105443,105685,4.23125,0.103293963,4.437837927,4.024662073,
228,10.08681273,5.21735,84.72,0.2,0,1,0.08,0.08,8.1,0,,4.20875,4.12403,,105807,106051,4.20875,0.071999504,4.352749008,4.064750992,
229,10.00413394,5.23775,84.72,0.2,0,0,0,0,0,0,0,4.21,4.12528,,106174,106416,4.21,0.157480157,4.524960315,3.895039685,
230,10.00413394,5.06609,84.72,0.2,0,0,0,0,0,0,0,4.22125,4.13653,,106539,106781,4.22125,0.14307216,4.507394319,3.935105681,
231,2.149648615,5.20321,85.08,0.2,0,0,0,0,0,0,0,0,0,,106904,106956,0,0,0,0,
232,10.00413394,5.28122,85.08,0.2,0,0,0,0,0,0,0,4.24125,4.15617,,107076,107318,4.24125,0.153663594,4.548577187,3.933922813,
233,10.00413394,5.08114,85.08,0.2,0,0,0,0,0,0,0,4.1775,4.09242,,107441,107683,4.1775,0.164033969,4.505567937,3.849432063,
234,10.00413394,5.27555,85.08,0.2,0,0,0,0,0,0,0,4.26625,4.18117,,107807,108049,4.26625,0.146281285,4.55881257,3.97368743,
235,10.08681273,5.07189,85.08,0.2,0,0,0,0,0,0,0,4.26625,4.18117,,108171,108415,4.26625,0.143321567,4.552893133,3.979606867,
236,10.00413394,5.23416,85.08,0.2,0,0,0,0,0,0,0,4.165,4.07992,,108537,108779,4.165,0.158835045,4.482670089,3.847329911,
237,10.04547334,5.16538,85.08,0.2,0,0,0,0,0,0,0,4.245,4.15992,,108903,109146,4.245,0.166218445,4.57743689,3.91256311,
238,10.00413394,5.21382,85.08,0.2,0,0,0,0,0,0,0,4.24,4.15492,,109268,109510,4.24,0.166304368,4.572608736,3.907391264,
239,10.00413394,5.19342,85.08,0.2,0,0,0,0,0,0,0,4.3525,4.26742,,109633,109875,4.3525,0.195064092,4.742628184,3.962371816,
240,10.00413394,5.20146,85.08,0.2,0,0,0,0,0,0,0,0,0,,109999,110241,0,0,0,0,
241,10.00413394,5.16848,83.3,0.2,0,0,0,0,0,0,0,4.314285714,4.230985714,,110364,110606,4.27875,0.1190963,4.516942599,4.040557401,
242,10.00413394,5.10383,83.3,0.2,0,0,0,0,0,0,0,4.30375,4.22045,,110730,110972,4.30375,0.193755184,4.691260369,3.916239631,
243,10.00413394,5.25435,83.3,0.2,0,0,0,0,0,0,0,4.2475,4.1642,,111095,111337,4.2475,0.209199153,4.665898306,3.829101694,
244,10.00413394,5.17859,83.3,0.2,0,0,0,0,0,0,0,4.3025,4.2192,,111460,111702,4.3025,0.209880919,4.722261837,3.882738163,
245,10.04547334,5.19541,83.3,0.2,0,0,0,0,0,0,0,4.28125,4.19795,,111825,112068,4.28125,0.155695444,4.592640889,3.969859111,
246,10.00413394,5.18614,83.3,0.2,0,0,0,0,0,0,0,4.24,4.1567,,112193,112435,4.24,0.179523178,4.599046356,3.880953644,
247,10.00413394,5.20652,83.3,0.2,0,0,0,0,0,0,0,4.357142857,4.273842857,,112558,112800,4.2825,0.253306703,4.789113406,3.775886594,
248,10.00413394,5.13136,83.3,0.2,0,0,0,0,0,0,0,4.2125,4.1292,,112923,113165,4.2125,0.145773797,4.504047595,3.920952405,
249,10.00413394,5.14503,83.3,0.2,0,0,0,0,0,0,0,4.342857143,4.259557143,,113288,113530,4.29375,0.165696582,4.625143163,3.962356837,
250,10.00413394,5.20462,83.3,0.2,0,0,0,0,0,0,0,4.2375,4.1542,,113654,113896,4.2375,0.140788595,4.519077191,3.955922809,
251,10.04547334,5.19203,88.97,0.2,0,0,0,0,0,0,0,4.2775,4.18853,,114018,114261,4.2775,0.17252329,4.622546581,3.932453419,
252,10.00413394,5.19185,88.97,0.2,0,0,0,0,0,0,0,4.225,4.13603,,114383,114625,4.225,0.166904592,4.558809184,3.891190816,
253,10.04547334,5.17263,88.97,0.2,0,0,0,0,0,0,0,4.25875,4.16978,,114749,114992,4.25875,0.188712745,4.636175489,3.881324511,
254,10.00413394,5.15782,88.97,0.2,0,0,0,0,0,0,0,4.23125,4.14228,,115114,115356,4.23125,0.190745717,4.612741434,3.849758566,
255,3.183133526,5.20965,88.97,0.2,0,0,0,0,0,0,0,0,0,,115480,115557,0,0,0,0,
256,10.00413394,5.13512,88.97,0.2,0,0,0,0,0,0,0,4.30375,4.21478,,115680,115922,4.30375,0.142822317,4.589394634,4.018105366,
257,9.921455147,5.21397,88.97,0.2,0,0,0,0,0,0,0,4.30125,4.21228,,116044,116284,4.30125,0.174882614,4.651015227,3.951484773,
258,10.04547334,5.16515,88.97,0.2,0,0,0,0,0,0,0,4.235,4.14603,,116408,116651,4.235,0.201636165,4.638272329,3.831727671,
259,10.00413394,5.22334,88.97,0.2,0,0,0,0,0,0,0,4.314285714,4.225315714,,116773,117015,4.24375,0.235186097,4.714122193,3.773377807,
260,9.962794543,5.24193,88.97,0.2,0,0,0,0,0,0,0,4.21,4.12103,,117140,117381,4.21,0.157480157,4.524960315,3.895039685,
261,9.962794543,5.07488,86.57,0.2,0,0,0,0,0,0,0,4.24,4.15343,,117504,117745,4.24,0.115634893,4.471269787,4.008730213,
262,10.04547334,5.21792,86.57,0.2,0,0,0,0,0,0,0,4.27875,4.19218,,117870,118113,4.27875,0.201879561,4.682509122,3.874990878,
263,10.00413394,5.18014,86.57,0.2,0,0,0,0,0,0,0,4.2275,4.14093,,118236,118478,4.2275,0.125555907,4.478611813,3.976388187,
264,10.04547334,5.19508,86.57,0.2,0,0,0,0,0,0,0,4.23875,4.15218,,118600,118843,4.23875,0.149325866,4.537401732,3.940098268,
265,10.00413394,5.20541,86.57,0.2,0,0,0,0,0,0,0,4.31,4.22343,,118966,119208,4.31,0.159284113,4.628568225,3.991431775,
266,10.12815213,5.14867,86.57,0.2,0,0,0,0,0,0,0,4.32625,4.23968,,119330,119575,4.32625,0.146671401,4.619592803,4.032907197,
267,10.00413394,5.1875,86.57,0.2,0,0,0,0,0,0,0,4.26375,4.17718,,119697,119939,4.26375,0.148125188,4.560000377,3.967499623,
268,10.00413394,5.20897,86.57,0.2,0,0,0,0,0,0,0,4.325,4.23843,,120062,120304,4.325,0.205287255,4.73557451,3.91442549,
269,10.04547334,5.19479,86.57,0.2,0,0,0,0,0,0,0,4.25375,4.16718,,120426,120669,4.25375,0.153895837,4.561541674,3.945958326,
270,10.00413394,5.19877,86.57,0.2,0,0,0,0,0,0,0,4.265,4.17843,,120794,121036,4.265,0.195886264,4.656772529,3.873227471,
271,10.04547334,5.17051,78.06,0.2,0,0,0,0,0,0,0,4.25625,4.17819,,121158,121401,4.25625,0.117830083,4.491910167,4.020589833,
272,10.00413394,5.19384,78.06,0.2,0,0,0,0,0,0,0,4.25375,4.17569,,121524,121766,4.25375,0.153895837,4.561541674,3.945958326,
273,10.00413394,5.10121,78.06,0.2,0,0,0,0,0,0,0,4.26625,4.18819,,121889,122131,4.26625,0.152964749,4.572179497,3.960320503,
274,10.00413394,5.19955,78.06,0.2,0,0,0,0,0,0,0,4.15875,4.08069,,122256,122498,4.15875,0.198309823,4.555369645,3.762130355,
275,10.04547334,5.24881,78.06,0.2,0,0,0,0,0,0,0,4.265,4.18694,,122620,122863,4.265,0.135541243,4.536082486,3.993917514,
276,10.00413394,5.09496,78.06,0.2,0,0,0,0,0,0,0,4.30125,4.22319,,122985,123227,4.30125,0.148366101,4.597982202,4.004517798,
277,10.04547334,5.21289,78.06,0.2,0,0,0,0,0,0,0,4.18125,4.10319,,123350,123593,4.18125,0.136113136,4.453476271,3.909023729,
278,10.08681273,5.21345,78.06,0.2,0,0,0,0,0,0,0,4.26375,4.18569,,123716,123960,4.26375,0.224749861,4.713249722,3.814250278,
279,10.00413394,5.10638,78.06,0.2,0,0,0,0,0,0,0,4.2525,4.17444,,124083,124325,4.2525,0.189114478,4.630728956,3.874271044,
280,10.00413394,5.21854,78.06,0.2,0,0,0,0,0,0,0,4.25375,4.17569,,124448,124690,4.25375,0.187383297,4.628516594,3.878983406,
281,10.00413394,5.22998,83.89,0.2,0,0,0,0,0,0,0,4.225,4.14111,,124813,125055,4.225,0.128173989,4.481347978,3.968652022,
282,10.04547334,5.12255,83.89,0.2,0,0,0,0,0,0,0,4.2375,4.15361,,125177,125420,4.2375,0.118773494,4.475046988,3.999953012,
283,10.04547334,5.17865,83.89,0.2,0,0,0,0,0,0,0,4.31375,4.22986,,125543,125786,4.31375,0.161505197,4.636760393,3.990739607,
284,10.00413394,5.21584,83.89,0.2,0,0,0,0,0,0,0,4.19625,4.11236,,125909,126151,4.19625,0.218039151,4.632328302,3.760171698,
285,10.04547334,5.15671,83.89,0.2,0,1,0.46,0.46,0.25,0,,4.18875,4.10486,,126276,126519,4.18875,0.162607108,4.513964215,3.863535785,
286,10.00413394,5.13457,83.89,0.2,0,0,0,0,0,0,0,4.28875,4.20486,,126642,126884,4.28875,0.20808223,4.704914459,3.872585541,
287,10.08681273,5.27966,83.89,0.2,0,0,0,0,0,0,0,4.3,4.21611,,127006,127250,4.3,0.18516402,4.67032804,3.92967196,
288,10.00413394,5.15876,83.89,0.2,0,0,0,0,0,0,0,4.2775,4.19361,,127373,127615,4.2775,0.164033969,4.605567937,3.949432063,
289,10.00413394,5.11451,83.89,0.2,0,0,0,0,0,0,0,4.23875,4.15486,,127737,127979,4.23875,0.16651362,4.57177724,3.90572276,
290,10.00413394,5.21595,83.89,0.2,0,0,0,0,0,0,0,4.2875,4.20361,,128102,128344,4.2875,0.17268882,4.63287764,3.94212236,
291,10.04547334,5.19166,86.23,0.2,0,0,0,0,0,0,0,4.36,4.27377,,128466,128709,4.36,0.133950951,4.627901901,4.092098099,
292,10.00413394,5.10616,86.23,0.2,0,0,0,0,0,0,0,4.29125,4.20502,,128831,129073,4.29125,0.170833043,4.632916086,3.949583914,
293,10.00413394,5.1791,86.23,0.2,0,0,0,0,0,0,0,4.29375,4.20752,,129198,129440,4.29375,0.137418807,4.568587614,4.018912386,
294,10.08681273,5.2564,86.23,0.2,0,0,0,0,0,0,0,4.2975,4.21127,,129564,129808,4.2975,0.107138095,4.51177619,4.08322381,
295,10.00413394,5.1144,86.23,0.2,0,0,0,0,0,0,0,4.32,4.23377,,129930,130172,4.32,0.18761663,4.695233261,3.944766739,
296,10.08681273,5.28338,86.23,0.2,0,0,0,0,0,0,0,4.29125,4.20502,,130294,130538,4.29125,0.122058241,4.535366483,4.047133517,
297,10.00413394,5.19716,79.3,0.2,0,0,0,0,0,0,0,4.38,4.3007,,130661,130903,4.38,0.084852814,4.549705627,4.210294373,
298,10.04547334,5.16803,79.3,0.2,0,0,0,0,0,0,0,4.38,4.3007,,131025,131268,4.38,0.100285307,4.580570615,4.179429385,
299,10.00413394,5.18366,79.3,0.2,0,0,0,0,0,0,0,4.388571429,4.309271429,,131390,131632,4.34,0.159284113,4.658568225,4.021431775,
300,10.08681273,5.33657,79.3,0.2,0,0,0,0,0,0,0,4.3025,4.2232,,131755,131999,4.3025,0.160512572,4.623525144,3.981474856,
301,10.04547334,5.00994,79.3,0.2,0,0,0,0,0,0,0,4.30875,4.22945,,132121,132364,4.30875,0.212565116,4.733880232,3.883619768,
302,10.08681273,5.26993,79.3,0.2,0,0,0,0,0,0,0,4.26,4.1807,,132486,132730,4.26,0.120475249,4.500950499,4.019049501,
