index,视频长度,码率(Mbps),端到端时延,丢包率,时延(ms),卡顿次数,卡顿总时长,每次卡顿时长,卡顿开始位置,卡顿间隔,卡顿频率,MOS得分,最终得分,,start ,last,Row Mean,Row StdDev,Threshold Upper,Threshold Lower,Filtered Mean
201,9.838776354,5.06275,304.65,0.1,50,0,0,0,0,0,0,0,0,,230793,231031,0,0,0,0,
202,9.962794543,5.11324,304.65,0.1,50,0,0,0,0,0,0,0,0,,231158,231399,0,0,0,0,
203,10.00413394,5.16821,304.65,0.1,50,0,0,0,0,0,0,3.897142857,3.592492857,,231520,231762,3.785,0.328763919,4.442527838,3.127472162,
204,10.16949153,5.05985,304.65,0.1,50,0,0,0,0,0,0,3.87625,3.5716,,231884,232130,3.87625,0.292669365,4.46158873,3.29091127,
205,10.16949153,5.11898,265.23,0.1,50,0,0,0,0,0,0,3.91125,3.64602,,232251,232497,3.91125,0.187116274,4.285482548,3.537017452,
206,0.124018189,5.01138,265.23,0.1,50,0,0,0,0,0,0,0,0,,232622,232625,0,0,0,0,
207,9.797436957,5.00218,265.23,0.1,50,0,0,0,0,0,0,3.944285714,3.679055714,,232747,232984,8.96375,14.19939429,37.36253858,-19.43503858,
208,10.00413394,5.11902,265.23,0.1,50,0,0,0,0,0,0,3.82625,3.56102,,233106,233348,3.82625,0.256511626,4.339273252,3.313226748,
209,10.00413394,5.18314,265.23,0.1,50,0,0,0,0,0,0,3.7775,3.51227,,233473,233715,3.7775,0.202960235,4.183420471,3.371579529,
210,10.08681273,5.09159,265.23,0.1,50,0,0,0,0,0,0,3.79375,3.52852,,233838,234082,3.79375,0.217842505,4.229435011,3.358064989,
211,9.962794543,5.06056,249.01,0.1,50,0,0,0,0,0,0,3.72375,3.47474,,234204,234445,3.72375,0.238323759,4.200397519,3.247102481,
212,9.921455147,5.10048,249.01,0.1,50,0,0,0,0,0,0,3.83375,3.58474,,234574,234814,3.83375,0.288292386,4.410334773,3.257165227,
213,10.08681273,5.09656,249.01,0.1,50,0,0,0,0,0,0,3.82375,3.57474,,234934,235178,3.82375,0.197696557,4.219143114,3.428356886,
214,10.08681273,5.4228,249.01,0.1,50,0,0,0,0,0,0,3.83375,3.58474,,235300,235544,3.83375,0.167241271,4.168232543,3.499267457,
215,10.00413394,5.07985,249.01,0.1,50,0,0,0,0,0,0,3.79375,3.54474,,235668,235910,3.79375,0.189807233,4.173364466,3.414135534,
216,10.08681273,5.11822,249.01,0.1,50,0,0,0,0,0,0,3.83375,3.58474,,236033,236277,3.83375,0.249510235,4.332770469,3.334729531,
217,10.04547334,5.05372,249.01,0.1,50,0,0,0,0,0,0,3.89125,3.64224,,236399,236642,3.89125,0.215236581,4.321723162,3.460776838,
218,10.04547334,5.06253,249.01,0.1,50,0,0,0,0,0,0,3.7275,3.47849,,236762,237005,3.7275,0.292367186,4.312234372,3.142765628,
219,9.962794543,5.05256,249.01,0.1,50,0,0,0,0,0,0,3.71125,3.46224,,237126,237367,3.71125,0.294494118,4.300238237,3.122261763,
220,9.921455147,5.06261,249.01,0.1,50,0,0,0,0,0,0,3.692857143,3.443847143,,237495,237735,3.76875,0.237453003,4.243656006,3.293843994,
221,10.00413394,5.08784,498.6,0.1,50,0,0,0,0,0,0,3.7425,2.9946,,237861,238103,3.7425,0.277012119,4.296524239,3.188475761,
222,9.797436957,5.12103,389.5,0.1,50,0,0,0,0,0,0,3.7975,3.408,,238227,238464,3.7975,0.36259974,4.52269948,3.07230052,
223,10.04547334,5.07616,389.5,0.1,50,0,0,0,0,0,0,3.677142857,3.287642857,,238587,238830,3.78,0.336876408,4.453752816,3.106247184,
224,10.12815213,5.11358,389.5,0.1,50,0,0,0,0,0,0,3.825714286,3.436214286,,238952,239197,3.91,0.276095222,4.462190443,3.357809557,
225,10.00413394,5.05192,389.5,0.1,50,0,0,0,0,0,0,3.794285714,3.404785714,,239320,239562,3.8825,0.271806128,4.426112257,3.338887743,
226,9.962794543,5.11273,389.5,0.1,50,0,0,0,0,0,0,3.81875,3.42925,,239687,239928,3.81875,0.168898744,4.156547488,3.480952512,
227,10.00413394,5.14697,389.5,0.1,50,0,0,0,0,0,0,3.7,3.3105,,240050,240292,3.7,0.37032804,4.44065608,2.95934392,
228,9.838776354,5.05735,389.5,0.1,50,0,0,0,0,0,0,3.72875,3.33925,,240419,240657,3.72875,0.423301227,4.575352454,2.882147546,
229,9.962794543,5.00728,389.5,0.1,50,0,0,0,0,0,0,3.8075,3.418,,240784,241025,3.8075,0.313311803,4.434123605,3.180876395,
230,9.962794543,5.10527,389.5,0.1,50,0,0,0,0,0,0,3.85625,3.46675,,241149,241390,3.85625,0.296933735,4.45011747,3.26238253,
231,2.521703183,5.09164,711.83,0.1,50,1,0.29,0.29,0.58,0,,0,0,,241514,241575,0,0,0,0,
232,9.962794543,5.07644,711.83,0.1,50,0,0,0,0,0,0,3.7625,2.694755,,241695,241936,3.7625,0.272226271,4.306952543,3.218047457,
233,9.962794543,5.22803,711.83,0.1,50,0,0,0,0,0,0,3.85,2.782255,,242060,242301,3.85,0.207019668,4.264039336,3.435960664,
234,9.88011575,5.06271,417.5,0.1,50,0,0,0,0,0,0,3.84375,3.2175,,242424,242663,3.84375,0.277021789,4.397793577,3.289706423,
235,9.921455147,5.12654,417.5,0.1,50,0,0,0,0,0,0,3.8525,3.22625,,242791,243031,3.8525,0.260315742,4.373131485,3.331868515,
