index,视频长度,码率(Mbps),端到端时延,丢包率,时延(ms),卡顿次数,卡顿总时长,每次卡顿时长,卡顿开始位置,卡顿间隔,卡顿频率,MOS得分,最终MOS得分,,start,last,Row Mean,Row StdDev,Threshold Upper,Threshold Lower,Filtered Mean
1,9.838776354,2.20823,440.99,0.2,50,0,0,0,0,0,0,0,-0.661485,,268977,269215,0,0,0,0,
2,10.00413394,2.02973,440.99,0.2,50,0,0,0,0,0,0,0,-0.661485,,269336,269578,0,0,0,0,
3,10.08681273,2.22738,440.99,0.2,50,1,0.17,0.17,7.98,0,,3.1625,2.501015,,269700,269944,3.1625,0.534355419,4.231210839,2.093789161,
4,10.00413394,2.1154,440.99,0.2,50,0,0,0,0,0,0,3.2875,2.626015,,270065,270307,3.2875,0.448608961,4.184717922,2.390282078,
5,10.00413394,2.11989,440.99,0.2,50,1,0.21,0.21,8.35,0,,3.5,2.838515,,270433,270675,3.5,0.501426536,4.502853073,2.497146927,
6,10.12815213,2.10567,440.99,0.2,50,0,0,0,0,0,0,3.2875,2.626015,,270797,271042,3.2875,0.290012315,3.86752463,2.70747537,
7,0.206696982,2.21273,440.99,0.2,50,0,0,0,0,0,0,0,-0.661485,,271164,271169,0,0,0,0,
8,9.921455147,2.03429,440.99,0.2,50,0,0,0,0,0,0,3.5125,2.851015,,271291,271531,3.5125,0.494072002,4.500644003,2.524355997,
9,10.00413394,2.21814,440.99,0.2,50,0,0,0,0,0,0,3.4125,2.751015,,271653,271895,3.4125,0.412093956,4.236687912,2.588312088,
10,10.08681273,2.21295,440.99,0.2,50,1,0.08,0.08,8.72,0,,3.4125,2.751015,,272019,272263,3.4125,0.274837614,3.962175229,2.862824771,
11,10.00413394,2.12391,341.17,0.2,50,0,0,0,0,0,0,3.325,2.813245,,272385,272627,3.325,0.305894473,3.936788946,2.713211054,
12,10.00413394,2.07323,341.17,0.2,50,2,0.25,0.17，0.08,6.28，7.36,1,,3.3375,2.825745,,272750,272992,3.3375,0.277424378,3.892348757,2.782651243,
13,9.921455147,2.16299,341.17,0.2,50,0,0,0,0,0,0,3.35,2.838245,,273116,273356,3.35,0.427617987,4.205235974,2.494764026,
14,9.962794543,2.16654,341.17,0.2,50,1,0.08,0.08,5.99,0,,3.3625,2.850745,,273481,273722,3.3625,0.342000418,4.046500835,2.678499165,
15,10.00413394,2.15267,341.17,0.2,50,2,0.41,0.17，0.25,6.24，8.06,1.65,,2.925,2.413245,,273846,274088,2.925,0.647522752,4.220045504,1.629954496,
16,9.921455147,2.1517,341.17,0.2,50,0,0,0,0,0,0,3.575,3.063245,,274214,274454,3.575,0.455913526,4.486827051,2.663172949,
17,10.00413394,2.14926,341.17,0.2,50,0,0,0,0,0,0,3.3375,2.825745,,274578,274820,3.3375,0.261520281,3.860540561,2.814459439,
18,9.88011575,2.10509,341.17,0.2,50,0,0,0,0,0,0,3.5,2.988245,,274947,275186,3.5,0.329501788,4.159003577,2.840996423,
19,10.21083092,2.18961,341.17,0.2,50,0,0,0,0,0,0,3.5125,3.000745,,275310,275557,3.5125,0.479396943,4.471293885,2.553706115,
20,10.12815213,2.07374,341.17,0.2,50,0,0,0,0,0,0,3.4375,2.925745,,275684,275929,3.4375,0.244584195,3.926668391,2.948331609,
21,10.00413394,2.15123,348.14,0.2,50,0,0,0,0,0,0,3.375,2.85279,,276057,276299,3.375,0.319597962,4.014195923,2.735804077,
22,10.00413394,2.15143,348.14,0.2,50,0,0,0,0,0,0,3.4,2.87779,,276425,276667,3.5375,0.450198369,4.437896738,2.637103262,
23,9.962794543,2.09956,348.14,0.2,50,0,0,0,0,0,0,3.275,2.75279,,276795,277036,3.275,0.249284691,3.773569382,2.776430618,
24,10.33484911,2.12861,348.14,0.2,50,0,0,0,0,0,0,3.3375,2.81529,,277161,277411,3.3375,0.427409138,4.192318276,2.482681724,
25,9.962794543,2.2453,348.14,0.2,50,2,0.37,0.08，0.29,4.09，9.30,5.13,,3.225,2.70279,,277543,277784,3.225,0.328416112,3.881832225,2.568167775,
